Player,Played,Started,Minutes,Goals,Assists,Clean Sheets,Saves,Shots on Target,Shots off Target,Shots Blocked,Total Shots,Positions Played,GF On Pitch,GA On Pitch,Goal+/-,Man of the Match,Yellow,Red,Positive,Negative,Rating
Gilles De Vleeschauwer,1,1,90,0,0,1,2,0,0,0,0,,0,3,-3,0,0,0,,,
Vincent Jones,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Joris Gerard Bernard Eissens,1,1,90,0,0,0,0,0,1,0,1,,0,3,-3,0,1,0,,,
Arno Van Cauteren,0,0,90,0,0,0,0,0,0,0,0,,0,3,-3,0,0,0,,,
Aron,1,0,13,0,0,0,0,0,0,0,0,,0,1,-1,0,0,0,,,
Jorrit,1,1,90,0,0,0,0,0,0,0,0,,0,3,-3,0,0,0,,,
Nick,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Wesley Bosch,1,1,90,0,0,0,0,0,0,0,0,,0,3,-3,0,0,0,,,
Frederico Aleixo,1,1,90,0,0,0,0,0,0,0,0,,0,3,-3,0,0,0,,,
Ot Zwaenepoel,1,1,77,0,0,0,0,0,0,0,0,,0,2,-2,0,0,0,,,
Jens Kroon,1,1,90,0,0,0,0,0,0,0,0,,0,3,-3,0,1,0,,,
Adrián Rodríguez Cuoto,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Mateo Koch,1,1,90,0,0,0,0,1,1,0,2,,0,3,-3,0,1,0,,,
Martin Garbonov,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Mauro Galbis,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Francesco Ghidini,1,1,70,0,0,0,0,0,0,0,0,,0,1,-1,0,0,0,,,
Fernando Mingo Moreno,1,0,26,0,0,0,0,0,0,0,0,,0,2,-2,0,0,0,,,
Matthijs van Heesch,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Jose Batista,1,0,20,0,0,0,0,0,0,0,0,,0,2,-2,0,0,0,,,
Klāvs,1,1,66,0,0,0,0,1,0,0,1,,0,1,-1,0,2,1,,,
Jules Busser,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,
Atakan Yilmaz,1,1,64,0,0,0,0,2,0,0,2,,0,1,-1,0,0,0,,,
