Athlete,Distance Interval 5,Distance Interval 10,Distance Interval 15,Distance Interval 20,Distance Interval 25,Distance Interval 30,Distance Interval 35,Distance Interval 40,Distance Interval 45,Distance Interval 50,Distance Interval 55,Distance Interval 60,Distance Interval 65,Distance Interval 70,Distance Interval 75,Distance Interval 80,Distance Interval 85,Distance Interval 90,Distance Interval 95,Distance Interval 100,Session Type
Mateo Koch,761.087571495421,734.4800463748788,666.7608437333364,698.5221753298166,753.3899161446219,632.0977252715819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Fernando Mingo Moreno,669.0835076400056,563.6767486537087,646.8938990468549,685.1068379885347,703.337825152586,758.9718888866764,411.5153976529315,585.437511975132,647.4872007461099,0.0,222.83953860894073,582.8098315434306,631.8934198514652,625.835486849672,608.1541989902013,333.1428503707209,573.386229496675,631.6195336010269,143.96488870992093,0.0,MatchSession
Frederico Aleixo,594.426637760542,628.7887504089707,578.5470137621008,623.3652495918419,563.489319600891,624.9366643368373,358.8150852759712,553.008726261583,521.3887855361249,0.0,141.09920683017026,502.15714136536855,556.3939999149299,580.3617369352023,562.5633168553251,268.9062179178976,442.1380084557158,593.5771137911917,410.0441076017356,0.0,MatchSession
Gilles De Vleeschauwer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jens Kroon,555.3585413298987,546.8300016846192,395.1965645278361,602.1278166670448,520.8268892206642,608.1428951836319,263.0919862287891,416.28515060657935,478.2545913997269,0.0,138.99246069256125,478.85292095574147,542.5126637751637,434.7678934565612,579.2905042540549,210.91163858679909,494.6934432503097,472.79420086761775,414.43348203290844,0.0,MatchSession
Jorrit,616.7878740765929,601.2083353756018,541.6201628062097,692.5766484459978,635.8081212743765,690.1057225996146,323.30894642609985,570.2091690273714,531.703760456434,0.0,205.95724570170984,545.2340608017646,606.9265560195845,489.7065873330259,621.8236330159272,200.1285863317968,654.0924448146325,722.111493250476,497.25826435440763,0.0,MatchSession
Martin  Garbonov,735.6157583226211,707.5336484225526,622.2312215926901,667.4258873002437,708.7587732382937,690.3347704037382,442.15030246893076,575.6287988679978,668.9416750218357,0.0,335.9302061532041,591.7193448098722,669.749567363198,563.7960831992481,663.4959636422135,418.60891892611704,591.6226559499,610.1670438116469,431.70625618677,0.0,MatchSession
Matthijs van Heesch,618.6262887342634,522.7972702317675,532.3799946591391,513.9161728563809,648.1267678811582,627.3335457913204,253.89365176049648,487.42987229439177,615.225882607493,0.0,235.37345527806175,552.0463673918591,617.3467087287909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Ot Zwaenepoel,626.789279036427,597.6288728072265,616.0745445918919,637.5725709659243,597.706867657829,684.0305772407424,301.727986851612,496.5894163056703,570.7176707364351,0.0,206.41901746717033,500.77136838260094,577.9361028326575,493.71343760251096,583.1888083459856,296.9365835213868,513.1355211793095,561.6641567868953,448.1777001105846,0.0,MatchSession
Vincent Jones,578.2426388244843,631.4918770833989,538.3270242525645,668.0873836962512,524.3937385079292,604.8119735625453,377.3411882176553,484.91135207424554,518.6333997045557,0.0,155.1951773327821,486.29543906605903,507.1015597268212,481.7284205327489,578.0289114618176,298.1427685022163,566.890824135356,474.7675886877132,376.57428153921785,0.0,MatchSession
Wesley Bosch,697.3735888426129,521.1122734668431,605.763169522635,613.7532845377173,689.7182127711247,576.6668071344018,363.976620782211,557.6616697278708,592.982052367588,0.0,241.19493306520005,578.5476496317951,681.9192579347614,578.4980396607752,625.2710120941869,340.8651286660194,593.1904243926951,683.5507464829044,461.2444945247842,0.0,MatchSession
Arno Van Cauteren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.01633175085726,0.0,MatchSession
Joris Gerard Bernard Eissens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Mauro Galbis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
