Athlete,Distance Interval 5,Distance Interval 10,Distance Interval 15,Distance Interval 20,Distance Interval 25,Distance Interval 30,Distance Interval 35,Distance Interval 40,Distance Interval 45,Distance Interval 50,Distance Interval 55,Distance Interval 60,Distance Interval 65,Distance Interval 70,Distance Interval 75,Distance Interval 80,Distance Interval 85,Distance Interval 90,Distance Interval 95,Distance Interval 100,Session Type
Atakan Yilmaz,698.3264568114676,718.0546665932482,712.5725724207072,572.4698413690832,564.3716539785355,449.0868478997882,444.30469332087296,565.9953258253552,567.7541995576845,458.04649931985966,597.0589150982568,647.1338797923444,598.8796107299426,674.3803627954403,655.5605564964034,561.5687275150414,550.058985083601,522.5388203080539,435.6598412305385,423.6622981453736,MatchSession
Francesco Ghidini,536.2364617890122,579.7161639546574,622.5784671881439,560.3962794271108,490.62853870418814,426.89213449177873,422.08647350882364,410.0043908182284,553.9633107744392,383.57161775536844,561.8914749661772,576.1271056904014,505.18096970178743,531.2607720998197,507.5644838783609,513.4345644264898,447.58367314348794,648.4979569791615,461.0761563307027,361.24251042586144,MatchSession
Frederico Aleixo,585.664874119979,571.7964219596741,642.7705879208212,462.8262410160925,384.3519007860698,395.53948875373504,361.2421770545181,498.9112315281576,665.6121996143808,452.4840555249621,508.65691521704036,510.83729819203376,533.928765064338,506.7117580040082,244.90003004384275,0.0,0.0,0.0,0.0,0.0,MatchSession
Gilles De Vleeschauwer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jens Kroon,493.3453691270661,558.8381736214421,620.1821215944235,424.62023235444525,385.42138343322586,364.30765129912265,298.23660758015836,430.3978683545472,516.5954038395065,356.10381979194983,479.18050180233433,573.3815621348301,431.3030853080221,408.64846957416273,523.1789127734692,517.2257092323736,428.34544547619345,516.0546932602238,396.87286598417205,424.611274144799,MatchSession
Jorrit,602.1539130681094,669.3651498405692,647.3238240009142,504.9956588610007,592.670160735096,422.1048643323612,381.51927807459344,580.0173989529793,623.3897542194075,436.2635270915023,541.7627888501687,598.6671921193309,413.3951892264909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jules Busser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Klāvs,668.4569277421364,669.8291365001452,643.4809975460088,578.8567047691411,587.429482169397,434.1755467823747,492.6479261603826,504.0889083488163,615.2079544640794,469.83029335912624,563.3728085925292,603.5248068347103,534.3277208729902,613.5638202140002,544.1578210156416,561.9000240660538,541.3907816156965,542.4308164792276,441.2384604102501,476.9252731367651,MatchSession
Martin  Garbonov,694.8981837327485,717.9873798364471,716.3919912348566,602.6576430879286,554.1723703812563,492.0480825993881,451.2722853643682,545.6921410068998,614.7794600016653,524.8631883167293,562.4569333790031,689.0586063740865,647.3850053805359,609.3796914839058,721.6021635689868,575.574224679297,512.8924359353505,577.6729216102093,348.49086007741596,505.1673548609247,MatchSession
Mateo Koch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Nick,534.7194954620775,633.3617095340985,636.0486540157608,470.93606191393616,477.1909535964655,380.22416477152905,370.2869665187024,526.0620861897412,587.2098727656706,399.19922789299807,564.1070967238442,643.9620099820958,617.6725344623346,452.3270187108206,587.3028100883816,569.9783189407934,454.2480937176157,569.8131481627811,363.5662783778798,427.87058715233843,MatchSession
Ot Zwaenepoel,716.4616307511286,718.1126269084729,757.4906014680882,635.5365958567334,613.1380109137693,502.79937318644386,438.3492300609215,514.3547643050146,606.9634851664504,481.2392401589397,624.3447959631918,646.9469133368674,561.842026240961,558.9783150550278,641.5796621893568,546.618989014129,496.5695725811116,567.8714829470007,512.701549571622,556.9443304406941,MatchSession
Wesley Bosch,692.7175018463163,697.371804095811,677.3919380339353,606.6164633192769,515.5517595772444,533.1361571714406,493.1268449197725,483.05994547986046,615.6451430948906,513.8819243369614,664.6076429151046,700.794975266664,589.68603251111,667.9241196703052,271.3917049314187,0.0,0.0,0.0,0.0,0.0,MatchSession
Fernando Mingo Moreno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
