Athlete,Distance Interval 5,Distance Interval 10,Distance Interval 15,Distance Interval 20,Distance Interval 25,Distance Interval 30,Distance Interval 35,Distance Interval 40,Distance Interval 45,Distance Interval 50,Distance Interval 55,Distance Interval 60,Distance Interval 65,Distance Interval 70,Distance Interval 75,Distance Interval 80,Distance Interval 85,Distance Interval 90,Distance Interval 95,Distance Interval 100,Distance Interval 105,Session Type
Aron,486.8402288272587,639.0667322926843,592.1633078540854,509.39094502493873,553.7519865914911,562.4722375375067,588.9455875907419,464.50978395234335,458.2521200208602,170.38321531390022,576.4506154912937,473.19890196589967,571.2146235966264,552.8911182609244,413.06412058146435,358.14060558032304,448.9061482909685,421.0814031945798,556.6541877209183,367.3977603271438,0.0,MatchSession
Fernando Mingo Moreno,692.1900891749251,793.3203785639826,633.6105052341267,516.2505789353743,609.0672555285036,779.3636538508431,658.9031204120795,610.3778818166605,614.6479588158152,276.8539965325066,649.1850649585913,491.0428067620285,638.7439253284632,579.7876577428954,476.603032101958,503.04252380938965,381.3195508405657,566.188055838796,699.781032968681,523.987636218116,0.0,MatchSession
Gilles De Vleeschauwer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jens Kroon,484.2766910435412,621.5193560562666,573.4922453224868,545.9113304840128,564.9951729248205,577.955138211476,654.9965628725735,516.1212948742874,488.6527298181645,173.02005713202078,590.3138215873737,151.18410631528855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jorrit,622.6883639528625,651.1789670426988,683.4110111444055,643.514836634451,599.9875495605216,603.5116391739722,664.2513627983755,441.1181405134835,578.041463675971,202.48594969520494,627.1863298431585,448.95946356369313,716.9949035797714,681.160511353402,522.609008103173,605.4297054959815,529.6053143103386,467.76015716317244,731.6004832929179,593.8018965158494,0.0,MatchSession
Jose Batista,658.3983896790451,637.9412737627823,643.9872190360118,581.9470676049037,576.3240755997325,661.7475219070001,632.9575810010929,531.4748559887261,590.9784035194664,257.15487270683536,601.6192988225463,162.98865968126526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Mateo Koch,695.4704841949557,796.3664706257557,717.194147549095,669.2348780388083,728.8877492127688,702.0548704696184,711.1846039327393,658.0264222079682,550.5242332742534,212.43316502350348,654.3091955670794,549.9430410364052,682.3477136045832,637.0765038629852,517.8356139361845,585.1131381576961,486.3024322293236,176.37444727129085,0.0,0.0,0.0,MatchSession
Matthijs van Heesch,589.3389505166657,629.3729751684995,555.7699265956904,500.2662045076729,616.992045745292,571.5299086464914,561.5279313076908,490.6763076774273,428.3864716849232,193.5975968864929,549.7361064650476,411.93557481845727,626.3353134793718,436.20450095184594,404.5566483348783,463.84585245636265,379.6173694483295,517.1553211988924,615.2857757515859,405.8458459196347,0.0,MatchSession
Ot Zwaenepoel,609.6697712840287,746.0151184841521,680.96893068024,676.0559549001113,631.4478393258396,658.2170396951376,635.889833510409,639.0613717333179,527.7657469601533,214.4546016888815,632.9199082498722,440.9022915008078,634.0089984610382,599.8806553686042,367.20435506822156,422.18610458352816,446.08023651240717,441.55811306901717,666.6454814816217,550.4104985990593,0.0,MatchSession
Vincent Jones,563.3077945895325,594.0813379141148,652.1488853262142,498.2198335967581,495.72969129729773,494.40677054291876,602.574557855381,523.4416283008062,551.0726423524719,197.92266409291327,555.9616937078807,367.6922432087602,641.0904289119296,510.2399682319059,456.44301444556163,519.9455915427282,503.3850980737325,535.9143020184911,565.6040589230246,516.838158913754,0.0,MatchSession
Wesley Bosch,714.8389980719011,847.1953587780017,769.9337999561562,729.9880514552063,751.8105505184824,736.9985300857909,757.5293398770328,709.4324444802626,671.5891174033854,247.10214233773775,768.1567253652959,623.1821761594963,810.2652070720627,665.2701973073363,587.9184637626173,632.0948382293345,532.9632272722458,527.2525049199969,691.4432916390542,582.5674944093521,0.0,MatchSession
Francesco Ghidini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.86103575099656,630.4618593518969,566.7663628294006,464.3749116959175,508.874593209742,336.5860030476646,398.76198923412426,493.0457924725115,486.99594318342224,0.0,MatchSession
Nick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.30670252681836,634.8045022983077,475.16697639025864,0.0,MatchSession
