Athlete,Distance Interval 5,Distance Interval 10,Distance Interval 15,Distance Interval 20,Distance Interval 25,Distance Interval 30,Distance Interval 35,Distance Interval 40,Distance Interval 45,Distance Interval 50,Distance Interval 55,Distance Interval 60,Distance Interval 65,Distance Interval 70,Distance Interval 75,Distance Interval 80,Distance Interval 85,Distance Interval 90,Distance Interval 95,Distance Interval 100,Session Type
Arno Van Cauteren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Aron,426.7676170301815,489.3420601680584,516.7678530707924,554.3227473995718,520.0246548802558,492.76407586436585,490.0310746845531,497.44750832055394,435.222090609033,59.745980216723616,508.3566975879569,561.0409144871707,480.23218810782885,493.5169818948268,337.8967348962144,476.6251984640891,605.1733691263101,276.1409341101335,0.0,0.0,MatchSession
Francesco Ghidini,674.4818955268037,599.0605097192446,577.9771774158527,493.63244880167184,519.344146477728,567.3226738131578,441.4501512539783,465.7701146192401,409.70050673594255,93.536846315416,622.6534309262044,453.80051751302295,506.22958909052574,496.8230033179399,471.02347160504615,441.3623515887692,567.6605913694436,344.52696980314533,470.95733537763044,384.04852606336937,MatchSession
Frederico Aleixo,593.435274208826,507.3928211598231,649.2469700731887,622.6030368733864,525.728878429513,573.2611607182504,504.0000366790843,545.7096231307833,405.736186060561,69.73625053297408,547.2811052269702,511.63688242322496,233.8409672596587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Gilles De Vleeschauwer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jens Kroon,469.18059620892444,531.3514547950568,571.6900300615334,518.8869250231027,546.1077972554727,466.7330281882032,340.486378746266,480.02149358455966,447.1905431212737,60.28627354255786,477.34781018430965,464.03074104875975,521.8554432963514,438.06020027472783,314.24312617385874,513.9107051877643,623.4112600442081,316.684900086903,485.02298284410165,351.52460795808327,MatchSession
Joris Gerard Bernard Eissens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.03307127616313,525.1198768765055,510.03868462441045,532.3640281390551,593.0025581729643,343.60053888309284,565.4270769467233,392.78183202357764,MatchSession
Jorrit,600.3870270438794,674.4325429220288,660.6074683104293,701.0479092009472,572.848402048643,555.6849900860151,509.3403300415629,697.8655591829327,505.1628364053101,105.92903791828257,536.7314342697312,582.8379129052256,458.87976037480894,579.0184426591151,374.0239107418741,538.6944992828182,622.7164679929797,242.68517103219173,0.0,0.0,MatchSession
Jose Batista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Klāvs,727.7853368773959,662.3137509305596,546.0347335098594,632.3849127694017,502.18382952165865,574.3058326153327,513.7726035840956,515.601543035647,544.8806527517008,87.81373442016475,590.4248467978376,559.7187384565531,561.8857718764807,562.6972059722422,533.6163864919276,535.2400088612803,649.8060991147534,328.9667828683946,577.768305339469,374.7629920079623,MatchSession
Martin  Garbonov,736.8704960153054,686.802282662786,687.6250759656541,688.1345492116225,592.3747938693122,679.8671841464054,545.4710741535517,682.6064028884541,556.0117217189309,133.77916175983418,576.6627793705171,578.1959280152338,494.58395501184935,585.6621071245694,498.14236146597074,567.2560805498042,660.3533854064253,338.88147721991953,580.8652175965598,426.26943322455986,MatchSession
Mauro Galbis,621.7164270238642,608.4134089406273,621.0258553715258,611.8860367452875,575.1101875638216,566.906812558618,498.6001950354029,550.1948925380266,517.9470550405886,124.86638478420349,577.3171481151646,540.7589407640731,553.5265382632045,619.2173150658764,496.72125017630583,318.7326781126759,0.0,0.0,0.0,0.0,MatchSession
Ot Zwaenepoel,634.7130068852804,628.2671643337849,683.3334017564337,712.04055969001,621.3418705046109,641.4869681181054,461.1804324630738,567.6086558044012,470.3541189874368,104.48571784493245,552.56494254395,588.2304811297554,420.6321082704132,531.1703773103844,402.0851039700041,536.4657716259424,613.0110671421564,314.6837901744076,523.157159689961,418.95985102968785,MatchSession
Wesley Bosch,698.5926916633586,632.9707420845848,633.6808083623029,596.665061466907,605.1655263065378,709.1646888708268,490.53030917622925,567.6020646926144,470.26557977785416,117.61258387894922,554.0053001447789,544.3674816435238,532.4102518326066,593.335795252933,449.77456015528065,447.5410328586702,674.7439235555773,287.32499524580277,594.0695928060888,425.1708318632626,MatchSession
Atakan Yilmaz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Fernando Mingo Moreno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
