Player,Played,Started,Minutes,Goals,Assists,Clean Sheets,Saves,Shots on Target,Shots off Target,Shots Blocked,Total Shots,Positions Played,GF On Pitch,GA On Pitch,Goal+/-,Man of the Match,Yellow,Red,Positive,Negative,Rating
Gilles De Vleeschauwer,1,1,90,0,0,0,,,,,,,3,1,2,,0,0,,,
Vincent Jones,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Joris Gerard Bernard Eissens,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Arno Van Cauteren,1,1,90,0,0,0,,,,,,,3,1,2,,0,0,,,
Aron,1,1,90,0,0,0,,,,,,,3,1,2,,1,0,,,
Jorrit,1,1,90,1,0,0,,,,,,,3,1,2,,0,0,,,
Nick,1,1,68,0,0,0,,,,,,,2,1,1,,0,0,,,
Wesley Bosch,1,1,90,0,2,0,,,,,,,3,1,2,,0,0,,,
Frederico Aleixo,1,1,90,0,0,0,,,,,,,3,1,2,,0,0,,,
Ot Zwaenepoel,1,1,90,0,0,0,,,,,,,3,1,2,,0,0,,,
Jens Kroon,1,1,90,0,0,0,,,,,,,3,1,2,,0,0,,,
Adrián Rodríguez Cuoto,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Mateo Koch,1,0,22,0,0,0,,,,,,,1,0,1,,0,0,,,
Martin Garbonov,1,0,22,0,0,0,,,,,,,1,0,1,,0,0,,,
Mauro Galbis,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Francesco Ghidini,1,1,68,1,0,0,,,,,,,2,1,1,,0,0,,,
Fernando Mingo Moreno,1,1,90,1,0,0,,,,,,,3,1,2,,0,0,,,
Matthijs van Heesch,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Jose Batista,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Klāvs,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Jules Busser,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
Atakan Yilmaz,0,0,0,0,0,0,,,,,,,0,0,0,,0,0,,,
