Athlete,Distance Interval 5,Distance Interval 10,Distance Interval 15,Distance Interval 20,Distance Interval 25,Distance Interval 30,Distance Interval 35,Distance Interval 40,Distance Interval 45,Distance Interval 50,Distance Interval 55,Distance Interval 60,Distance Interval 65,Distance Interval 70,Distance Interval 75,Distance Interval 80,Distance Interval 85,Distance Interval 90,Distance Interval 95,Distance Interval 100,Session Type
Aron,399.0721934368072,472.96718300235034,370.16769523961307,552.6114473683798,494.2591724438365,483.7480735008231,293.2581638186519,518.8819136922157,477.89696700991965,309.99588181648863,380.39418423659515,493.5538622730739,262.4304004764906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Francesco Ghidini,513.191637355105,509.98819069023796,471.6402170306152,456.7483227654939,487.75115126267525,504.09470469641286,322.04033261921074,535.3362587076172,494.53876762475034,282.4398249664906,443.8187530386904,477.46290105554726,448.0645973342922,284.9256614352694,516.9689536188364,475.7669519704356,540.2245818037135,565.4841302526546,487.40960419843515,0.0,MatchSession
Gilles De Vleeschauwer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MatchSession
Jens Kroon,543.984530320033,623.016837415519,583.1247380322623,542.7580476400517,581.517214560672,652.7561853483764,376.96029091301693,629.1388891407865,537.5586973956821,350.0840209819451,513.974102030565,549.1439079958742,544.8060751454008,470.7952191985896,418.1353231911504,470.04867162561317,513.0120753729792,444.97456313908765,451.31945344277506,0.0,MatchSession
Joris Gerard Bernard Eissens,467.8716442191387,598.8703380311802,420.03356729489406,450.58636338348816,505.6882764324449,493.53237828088965,372.49249159371914,534.4329187982171,541.9717073254506,308.95896221461754,521.1205311813891,603.0568241254615,548.0387426154736,484.5391358406235,551.0068217358809,475.71715793751963,546.72409313754,456.1990024525085,533.2373692444854,0.0,MatchSession
Jorrit,551.3524053125649,589.8105971312727,492.00192317001483,609.5832817271597,569.7781281654692,682.1062621946038,339.09012348459555,632.8229008917415,524.19897143396,350.81864632282037,452.72449486644666,530.4960773684339,599.6390965013721,569.0569008619627,555.8405788336825,471.8639849537446,0.0,0.0,0.0,0.0,MatchSession
Martin  Garbonov,564.2322735743244,604.9594860544344,619.7800857373601,616.5064160822768,639.3557663594561,653.2593130590078,497.5278639070885,629.9573265807684,629.781170150161,378.79592973989935,527.7806587239222,630.17692947062,577.8610145858925,524.418739023315,679.4864585850315,562.7719591025563,549.019183936902,604.64999471085,592.0872955054496,0.0,MatchSession
Mateo Koch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.01525477572727,620.7485534214351,725.4495564713466,649.6732120800992,613.7500461074103,618.5243163891748,608.9462392213017,0.0,MatchSession
Matthijs van Heesch,506.0730098961315,548.9860902020243,496.4913360843197,549.1315983875497,533.408817892405,550.1562762561522,363.56493746621885,509.5115724541789,525.2675353212231,335.44499131097245,477.77334907765845,546.8280014312265,486.47959923089354,440.31828775145107,537.0839453292002,428.4283428595483,31.20120738422102,0.0,0.0,0.0,MatchSession
Ot Zwaenepoel,545.3493921708657,653.9577285198876,589.3538807191348,515.0340531399205,605.4009633351878,716.6049596763282,350.6296004887693,643.6236554999749,530.232484012875,378.11452696206425,470.46795636232025,621.0904666277735,627.5728024498185,524.0487234285117,541.0314596322722,525.8619977866915,534.9233369806809,574.1956437625936,640.0642837915187,0.0,MatchSession
Vincent Jones,435.8510887361,460.394114419579,394.340176213365,531.8707829574079,543.8605364378989,513.6948620106432,289.7062903088363,449.02363989663394,528.0588823732395,334.5232762879631,434.0529393273987,497.3200903566856,445.93342293811463,461.0127308614957,577.411704791559,528.7896714498818,629.9936509611732,605.9490909850257,610.8661223666237,0.0,MatchSession
Wesley Bosch,624.6549758394727,717.4158340495753,618.6540089075899,642.4359476371662,700.6760205219454,680.5850286432758,460.6570944329395,704.7816689218859,651.5580972472856,364.0330787844674,637.6738489550972,627.4217345557734,723.4523165903469,587.497828869489,710.055512719215,631.9233388296886,665.261334245923,672.4580137851061,649.858298832724,0.0,MatchSession
Arno Van Cauteren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.15897761132975,635.1506972416158,592.5295191133634,583.6612090311916,0.0,MatchSession
